Country,CapLat,CapLon,DiviorcedCount,DiviorcedRow N %,NonDiviorcedCount,NonDiviorcedRow N %,LT HIGH SCHOOLCount,LT HIGH SCHOOLRow N %,HIGH SCHOOLCount,HIGH SCHOOLRow N %,JUNIOR COLLEGECount,JUNIOR COLLEGERow N %,BACHELORCount,BACHELORRow N %,GRADUATECount,GRADUATERow N %,LT $1000Count,LT $1000Row N %,$1000 TO 2999Count,$1000 TO 2999Row N %,$3000 TO 3999Count,$3000 TO 3999Row N %,$4000 TO 4999Count,$4000 TO 4999Row N %,$5000 TO 5999Count,$5000 TO 5999Row N %,$6000 TO 6999Count,$6000 TO 6999Row N %,$7000 TO 7999Count,$7000 TO 7999Row N %,$8000 TO 9999Count,$8000 TO 9999Row N %,$10000 TO 14999Count,$10000 TO 14999Row N %,$15000 TO 19999Count,$15000 TO 19999Row N %,$20000 TO 24999Count,$20000 TO 24999Row N %,MT$25000Count,MT$25000Row N %,MALECount,MALERow N %,FEMALECount,FEMALERow N %,WHITECount,WHITERow N %,BLACKCount,BLACKRow N %,OTHERCount,OTHERRow N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %
OTHER,#N/A,#N/A,42,0.16,220,84.00%,52,0.199,102,0.391,17,0.065,55,0.211,35,0.134,1,0.007,7,0.049,3,0.021,2,0.014,4,0.028,6,0.042,1,0.007,7,0.049,23,0.161,15,0.105,18,0.126,56,0.392,110,0.42,152,0.58,194,0.74,24,0.092,44,0.168,89,0.353,72,0.286,20,0.079,17,0.067,37,0.147,1,0.004,2,0.008,0,0,5,0.02,5,0.02,4,0.016,0,0,0,0
AMERICAN INDIAN,#N/A,#N/A,470,0.36,837,64.00%,368,0.282,736,0.564,77,0.059,79,0.06,46,0.035,28,0.037,34,0.045,26,0.034,27,0.035,25,0.033,21,0.028,14,0.018,57,0.075,108,0.142,79,0.104,100,0.131,242,0.318,515,0.394,792,0.606,961,0.735,179,0.137,167,0.128,1044,0.82,133,0.104,1,0.001,69,0.054,9,0.007,0,0,0,0,0,0,1,0.001,1,0.001,8,0.006,4,0.003,3,0.002
INDIA,28.37,77.13,20,0.105,171,89.50%,19,0.099,38,0.199,6,0.031,57,0.298,71,0.372,2,0.018,2,0.018,2,0.018,0,0,2,0.018,1,0.009,1,0.009,4,0.035,6,0.053,4,0.035,9,0.08,80,0.708,105,0.55,86,0.45,29,0.152,16,0.084,146,0.764,36,0.197,17,0.093,0,0,7,0.038,44,0.24,0,0,68,0.372,2,0.011,8,0.044,0,0,1,0.005,0,0,0,0
PORTUGAL,38.42,-9.1,35,0.327,72,67.30%,20,0.187,59,0.551,5,0.047,14,0.131,9,0.084,1,0.015,1,0.015,3,0.045,1,0.015,1,0.015,2,0.03,0,0,5,0.076,5,0.076,3,0.045,3,0.045,41,0.621,44,0.411,63,0.589,99,0.925,2,0.019,6,0.056,18,0.175,83,0.806,0,0,2,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LITHUANIA,54.38,25.19,19,0.192,80,80.80%,23,0.235,44,0.449,3,0.031,15,0.153,13,0.133,2,0.053,2,0.053,3,0.079,0,0,1,0.026,1,0.026,1,0.026,0,0,9,0.237,3,0.079,1,0.026,15,0.395,41,0.414,58,0.586,99,1,0,0,0,0,10,0.108,65,0.699,16,0.172,2,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YUGOSLAVIA,44.5,20.37,19,0.143,114,85.70%,25,0.191,65,0.496,7,0.053,22,0.168,12,0.092,2,0.027,5,0.068,3,0.041,1,0.014,1,0.014,1,0.014,2,0.027,5,0.068,9,0.123,5,0.068,5,0.068,34,0.466,61,0.459,72,0.541,133,1,0,0,0,0,16,0.127,85,0.675,0,0,7,0.056,12,0.095,0,0,0,0,0,0,1,0.008,5,0.04,0,0,0,0,0,0
RUMANIA,45.94,25,6,0.095,57,90.50%,14,0.222,29,0.46,3,0.048,6,0.095,11,0.175,1,0.037,1,0.037,1,0.037,1,0.037,1,0.037,0,0,0,0,0,0,5,0.185,4,0.148,3,0.111,10,0.37,29,0.46,34,0.54,62,0.984,1,0.016,0,0,13,0.22,13,0.22,19,0.322,2,0.034,5,0.085,0,0,0,0,0,0,0,0,7,0.119,0,0,0,0,0,0
BELGIUM,50.51,4.21,15,0.246,46,75.40%,18,0.295,32,0.525,2,0.033,4,0.066,5,0.082,1,0.031,4,0.125,0,0,0,0,0,0,0,0,2,0.063,2,0.063,7,0.219,5,0.156,1,0.031,10,0.313,27,0.443,34,0.557,59,0.967,2,0.033,0,0,16,0.286,39,0.696,1,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARABIC,24.46,46.44,7,0.1,63,90.00%,7,0.101,19,0.275,5,0.072,21,0.304,17,0.246,1,0.026,1,0.026,1,0.026,0,0,2,0.053,3,0.079,1,0.026,1,0.026,1,0.026,6,0.158,2,0.053,19,0.5,31,0.443,39,0.557,58,0.829,2,0.029,10,0.143,6,0.094,16,0.25,1,0.016,2,0.031,16,0.25,0,0,2,0.031,0,0,18,0.281,3,0.047,0,0,0,0,0,0
OTHER SPANISH,#N/A,#N/A,57,0.167,284,83.30%,99,0.29,160,0.469,21,0.062,48,0.141,13,0.038,3,0.014,2,0.01,7,0.033,3,0.014,3,0.014,7,0.033,2,0.01,8,0.038,30,0.143,19,0.09,31,0.148,95,0.452,149,0.437,192,0.563,194,0.569,22,0.065,125,0.367,41,0.13,254,0.804,1,0.003,16,0.051,2,0.006,0,0,0,0,0,0,0,0,0,0,2,0.006,0,0,0,0
NON-SPAN WINDIES,#N/A,#N/A,22,0.155,120,84.50%,36,0.254,59,0.415,12,0.085,21,0.148,14,0.099,2,0.023,1,0.011,2,0.023,1,0.011,2,0.023,1,0.011,0,0,4,0.046,5,0.057,12,0.138,15,0.172,42,0.483,54,0.38,88,0.62,7,0.049,129,0.908,6,0.042,95,0.674,39,0.277,0,0,2,0.014,2,0.014,0,0,0,0,0,0,0,0,0,0,3,0.021,0,0,0,0
OTHER ASIAN,#N/A,#N/A,10,0.069,135,93.10%,19,0.131,38,0.262,17,0.117,44,0.303,27,0.186,1,0.01,3,0.031,1,0.01,2,0.021,5,0.052,2,0.021,2,0.021,1,0.01,7,0.073,4,0.042,8,0.083,60,0.625,56,0.386,89,0.614,30,0.207,3,0.021,112,0.772,28,0.201,24,0.173,2,0.014,14,0.101,15,0.108,19,0.137,2,0.014,1,0.007,33,0.237,1,0.007,0,0,0,0,0,0
OTHER EUROPEAN,#N/A,#N/A,15,0.143,90,85.70%,2,0.019,45,0.429,6,0.057,23,0.219,29,0.276,1,0.018,1,0.018,0,0,0,0,0,0,0,0,0,0,1,0.018,7,0.123,4,0.07,8,0.14,35,0.614,47,0.448,58,0.552,101,0.962,1,0.01,3,0.029,33,0.324,37,0.363,10,0.098,10,0.098,1,0.01,0,0,0,0,0,0,3,0.029,8,0.078,0,0,0,0,0,0
AMERICAN ONLY,#N/A,#N/A,181,0.242,567,75.80%,302,0.407,340,0.458,29,0.039,47,0.063,24,0.032,10,0.031,15,0.046,17,0.053,6,0.019,13,0.04,9,0.028,10,0.031,18,0.056,49,0.152,33,0.102,30,0.093,113,0.35,273,0.365,475,0.635,363,0.485,354,0.473,31,0.041,568,0.815,92,0.132,5,0.007,26,0.037,3,0.004,0,0,0,0,0,0,0,0,0,0,2,0.003,1,0.001,0,0
